id,Score,Z_score
1,0.1412023,-0.82093182
2,0,-1.373426677
3,0.4047964,0.21045637
4,0.1666667,-0.721294987
5,1,2.539362684
6,0.3547068,0.014466316
7,0.1666667,-0.721294987
8,0.1825742,-0.65905229
9,0.0860663,-1.036667374
10,0.467039,0.453998553
11,1,2.539362684
12,0.4550495,0.407086165
13,0,-1.373426677
14,NaN,#VALUE!
15,0,-1.373426677
16,0.1825742,-0.65905229
17,0.5227811,0.672105649
18,0,-1.373426677
19,0.5155978,0.643998909
20,0.3888889,0.148213674
21,0.4550495,0.407086165
22,0.4666667,0.452541822
23,0.2777778,-0.286540657
24,0.3846345,0.131567102
25,0.5714631,0.862588061
26,0.1666667,-0.721294987
27,0.7884159,1.711478669
28,0.06085806,-1.135301908
29,0.0745356,-1.081784575
30,0.1666667,-0.721294987
31,0.3888889,0.148213674
32,0.06085806,-1.135301908
33,0.05555556,-1.156049473
34,0.05555556,-1.156049473
35,0.5100989,0.622482872
36,0.6666667,1.235099694
37,0.4444444,0.365590643
38,0.1666667,-0.721294987
39,0.4359858,0.332493923
40,0.2222222,-0.503918017
41,0.06804138,-1.10719509
42,1,2.539362684
43,0.8333333,1.887230994
44,0.3333333,-0.069163687
45,0.1666667,-0.721294987
46,0.3888889,0.148213674
47,0.3883828,0.146233411
48,0.52121,0.665958266
49,0.3439383,-0.027668556
50,0.5,0.582968004
51,0.4444444,0.365590643
52,0.2777778,-0.286540657
53,NaN,#VALUE!
54,0.4444444,0.365590643
55,0.4868645,0.531571559
56,0.8424735,1.922994671
57,0,-1.373426677
58,0.2533599,-0.382082756
59,0.3333333,-0.069163687
60,0.2777778,-0.286540657
