id,Implementation Page Rank,Cosine similarity,Overall Average Page Rank of Successors,Average Implementation Page Rank Successors,Frienship indegree,Implementation Ratio
1,0.0407595813907063,0.1412023,0.04298116805683965,0.042883098192094384,3,0.013586527130235433
2,0.0214651756352074,0.0,0.02601942938242824,0.018653253248252198,7,0.003066453662172486
3,0.00283246005789723,0.40479640000000006,0.026268656567009763,0.032673764974812364,3,0.00094415335263241
4,0.0032337252327660103,0.1666667,0.013401792971031154,0.010489411892131715,2,0.0016168626163830051
5,0.00959972343129138,1.0,0.01378945676123946,0.017099862711679306,5,0.0019199446862582762
6,0.0166328609586563,0.3547068,0.02453003520019066,0.01787815426396284,6,0.002772143493109383
7,0.0428708641391581,0.1666667,0.04056046781531528,0.04030754438537233,8,0.005358858017394763
8,0.0242388970589974,0.18257420000000002,0.03700513277204339,0.030286977219305667,1,0.0242388970589974
9,0.00537678445671485,0.0860663,0.04058787361108691,0.04292995743483592,5,0.0010753568913429699
10,0.00984554444698702,0.46703900000000004,0.03532502608711583,0.023036990834063534,4,0.002461386111746755
11,0.0195874488964736,1.0,0.013400423893396856,0.016042080656687944,4,0.0048968622241184
12,0.007296592295362259,0.4550495,0.014329194177920975,0.01299517532821333,7,0.0010423703279088942
13,0.00673811886417827,0.0,0.01823316750137181,0.027385422907642554,6,0.0011230198106963784
14,0.0234677687927459,,0.0,0.0,10,0.00234677687927459
15,0.0148376028036908,0.0,0.018844773300413845,0.016066116759073337,2,0.0074188014018454
16,0.0113877097832173,0.18257420000000002,0.01486358344258859,0.02107958943693543,5,0.00227754195664346
17,0.0139893580631147,0.5227811,0.04136715169568784,0.04621264721869427,12,0.0011657798385928916
18,0.00844468466820218,0.0,0.018313645539692263,0.022978643818946345,6,0.0014074474447003634
19,0.0453921119780982,0.5155978,0.04021642704560966,0.04432983276900898,10,0.00453921119780982
20,0.035421793943661004,0.38888890000000004,0.0323718511868763,0.027936392587816123,7,0.005060256277665857
21,0.0553311601409202,0.4550495,0.03896896995966533,0.047205700665000766,10,0.00553311601409202
22,0.0416379945882779,0.46666670000000005,0.03486975828783776,0.03606317959850066,8,0.005204749323534738
23,0.009957280390808,0.27777779999999996,0.03607837313525195,0.03174463602513635,3,0.0033190934636026666
24,0.0241297330711743,0.3846345,0.041329691914814636,0.043224422208056404,4,0.006032433267793575
25,0.0377498444880881,0.5714630999999999,0.0369818797278445,0.03172273388288838,8,0.004718730561011013
26,0.00765126481867857,0.1666667,0.020571056366873106,0.02164203808747087,5,0.001530252963735714
27,0.00472616752613345,0.7884159000000001,0.01260374886625728,0.018039986376630877,0,inf
28,0.00601297301532981,0.06085806,0.03411662786630649,0.03298933452936273,7,0.0008589961450471157
29,0.0367759133151876,0.07453560000000001,0.05025426828532766,0.06131031963961175,9,0.0040862125905764
30,0.0442746977995247,0.1666667,0.0313176302564103,0.0397999677546394,1,0.0442746977995247
31,0.0114060885055937,0.38888890000000004,0.027460414543622424,0.0249661092184027,3,0.003802029501864567
32,0.00494490636823931,0.06085806,0.0393433154754399,0.04221838959181208,5,0.000988981273647862
33,0.0783459414796988,0.05555556,0.03567315811068506,0.03636829092831944,15,0.005223062765313253
34,0.00283246005789723,0.05555556,0.01863581206637507,0.015053692769100941,1,0.00283246005789723
35,0.00893447671589534,0.5100989,0.02735875715114394,0.026885232643485357,5,0.001786895343179068
36,0.00283246005789723,0.6666667,0.01583504098836096,0.013763266248890009,3,0.00094415335263241
37,0.007388562057903791,0.4444444,0.02737511368484635,0.02010274689856646,4,0.0018471405144759477
38,0.007380236117004691,0.1666667,0.04534717977192355,0.04875733320489072,3,0.00246007870566823
39,0.0132120698184763,0.43598580000000003,0.04179493501214549,0.03705327987918347,4,0.003303017454619075
40,0.00479957382654165,0.2222222,0.024579908552237295,0.02462392928174517,3,0.00159985794218055
41,0.0063283777004765,0.06804138,0.03038574926313937,0.04169626887020189,4,0.001582094425119125
42,0.00654687998942227,1.0,0.00677323540364728,0.007361114908396946,3,0.002182293329807423
43,0.007216931602848271,0.8333333,0.006450803070977379,0.008217635862902658,5,0.0014433863205696542
44,0.00431493003306152,0.3333333,0.02038002813581152,0.019070980449092407,3,0.0014383100110205067
45,0.00476976669059011,0.1666667,0.03620971810156811,0.03417632655087327,3,0.0015899222301967034
46,0.0363358844504673,0.38888890000000004,0.03787245379917393,0.04601815471716056,10,0.00363358844504673
47,0.00283246005789723,0.3883828,0.016706746771166604,0.014870381364942708,1,0.00283246005789723
48,0.0220881002087092,0.5212100000000001,0.040009177467020506,0.04763920498200278,7,0.003155442886958457
49,0.00451426788416424,0.3439383,0.030138838663581597,0.018143019350375628,3,0.00150475596138808
50,0.0170775333994192,0.5,0.033475204570847204,0.028532584358581553,8,0.0021346916749274
51,0.00971542986442144,0.4444444,0.031031888854998538,0.026730144289621935,10,0.000971542986442144
52,0.0395298205518759,0.27777779999999996,0.03284095746440935,0.041777613660769215,7,0.005647117221696557
53,0.00774667664798325,,0.03732336529125035,0.04259005736934073,4,0.0019366691619958124
54,0.00478233336680223,0.4444444,0.01422892143714964,0.008175086418620267,6,0.000797055561133705
55,0.00559691116513343,0.48686450000000003,0.011779652875865106,0.01044218985664555,4,0.0013992277912833575
56,0.0127352498351027,0.8424735000000001,0.024289419111423082,0.021902449416305588,8,0.0015919062293878374
57,0.0203748259068577,0.0,0.028988444182889487,0.035790701901780214,6,0.0033958043178096164
58,0.00283246005789723,0.2533599,0.032230801514663864,0.01226639694227577,6,0.000472076676316205
59,0.00524824929359056,0.3333333,0.03350058090015348,0.0244080133364472,8,0.00065603116169882
60,0.00567030023688274,0.27777779999999996,0.015885802554357186,0.017374429730394162,3,0.0018901000789609131
